text,label
Bahut noise karta hai jab chalti hai.,0
"Spin speed slow hai, kapde dry nahi hote.",0
Paise barbaad ho gaye is washing machine par.,0
Ek mahine ke andar kharab ho gayi.,0
Customer care bilkul response nahi karta.,0
Water leakage ka problem hai is machine mein.,0
Electricity ka bill double ho gaya isse.,0
Kapde ka color fade kar deta hai.,0
Machine baar-baar error dikhati hai.,0
Warranty hone ke baad bhi service nahi milti.,0
"Bahut heavy hai, move karna mushkil hai.",0
Detergent properly dissolve nahi hota.,0
"Buttons bahut delicate hain, jaldi kharab ho gaye.",0
Bina reason ke machine ruk jaati hai.,0
Spin cycle ke baad bhi kapde geele hote hain.,0
"Iski pipe fitting weak hai, baar-baar leak hoti hai.",0
Machine ke andar badbu rehne lagi hai.,0
Parts ka quality bahut cheap hai.,0
"Jo promises diye the, wo fulfill nahi hue.",0
Iski timer settings confusing hain.,0
Kapdon ki stitching kharab kar deta hai.,0
Drum andar se bahut delicate hai.,0
Machine start hone mein time lagati hai.,0
Manual instructions clear nahi hain.,0
Half load pe bhi power consumption zyada hai.,0
Machine bahut jaldi heat up ho jaati hai.,0
Kapde andar atak jaate hain.,0
Washing time bahut zyada lagta hai.,0
Detergent tray mein detergent residue reh jata hai.,0
Door lock kaam nahi karta properly.,0
Kapdon ke stains remove nahi hote.,0
Koi advanced features kaam ke nahi hain.,0
Bahut complicated controls hain.,0
Machine use karne ke baad pani overflow hota hai.,0
Machine ke andar rust develop ho raha hai.,0
Start button baar-baar jam ho jata hai.,0
Kapde wash karne ke baad rough feel hote hain.,0
Installation service time par nahi milti.,0
Kapde washing ke baad shrink ho gaye.,0
Iska drum ka size bahut chhota hai.,0
Machine ke andar ka material non-durable hai.,0
Bina warning ke machine band ho jaati hai.,0
Spin ke baad pani fully drain nahi hota.,0
Kapdon mein detergent smell reh jaati hai.,0
Repair ke liye technician available nahi hota.,0
Machine ka display kaam karna band kar diya.,0
Bahut vibration hota hai chalne par.,0
Iska drain pipe length short hai.,0
Kapde tangled ho jaate hain.,0
"Jo kapde nikalte hain, wo bilkul fresh nahi lagte.",0
Spin ke baad kapde me pani drip karta hai.,0
"Iska drum uneven hai, kapde damage ho jaate hain.",0
Detergent kaafi zyada use hota hai.,0
Machine ka noise unbearable hai.,0
Iska outer body fragile hai.,0
Overloading ki problem hoti hai.,0
Machine andar ke kapdon ko achhe se nahi ghoomati.,0
Kapdon ke fabric mein holes aa gaye.,0
Bina detergent bhi foam banta hai machine ke andar.,0
Ek baar chalane ke baad restart nahi hoti.,0
Machine mein paani kaafi der tak jam jaata hai.,0
Timer reset hone mein problem hoti hai.,0
Machine fully automatic hone ke bawjood manual lagti hai.,0
Koi bhi kapda properly clean nahi hota.,0
Installation mein technician late aata hai.,0
Detergent dispenser ke paas jam hota hai.,0
Bahut water wastage hota hai.,0
Iske settings complicated hain.,0
Door handle fragile hai.,0
Display ke indicators kaam nahi karte.,0
Iska spin bahut slow hai.,0
Pehle mahine mein parts replace karwane pade.,0
Iska motor weak lagta hai.,0
Machine cycle incomplete hoti hai.,0
Machine ke andar se smell aane lagti hai.,0
Kapdon par stains aur visible ho jaate hain.,0
Rustproof hone ka claim jhootha hai.,0
Parts kaafi costly hain.,0
Technical support ka experience pathetic hai.,0
Bahut zyada time consume karta hai.,0
Machine wash ke baad residue chhod deti hai.,0
"Jo kapde washable hote hain, unpe bhi impact hota hai.",0
"Agar overload hoti hai, toh warning nahi aati.",0
Machine ke andar pani leakage baar-baar hota hai.,0
Machine ka wash cycle incomplete rehta hai.,0
Iska design outdated lagta hai.,0
Buttons press karne par response slow hota hai.,0
Auto mode kaam nahi karta properly.,0
Kapde washing ke baad extra rough lagte hain.,0
Machine ke saath accessories incomplete aayi.,0
Iska heating element kaafi weak hai.,0
Machine ke andar wires visible hain.,0
Kapde andar ghoomte hi nahi.,0
Machine ke andar se metal rubbing ka sound aata hai.,0
Filter clogged ho jata hai easily.,0
Iska maintenance bahut costly hai.,0
Kapde smell karte hain wash ke baad.,0
Iska water inlet slow hai.,0
Machine ke andar jagah kaafi kam lagti hai.,0
"Mobile phone average hai, na zyada acha na kharab.",1
"Phone theek hai, basic tasks ke liye kaafi hai.",1
"Performance decent hai, daily use ke liye chal jaata hai.",1
"Camera thoda improve ho sakta hai, par chal jaata hai.",1
"Battery life thik hai, zyada expect mat karo.",1
"Design acha hai, par kuch extraordinary nahi hai.",1
"Display thik-thak hai, bright enough hai indoor use ke liye.",1
"Sound quality theek hai, par loudness thoda kam hai.",1
"Touch response okay hai, occasional lag ho sakta hai.",1
"Phone ka build quality average hai, metal ya glass feel nahi hai.",1
"Storage thik hai, thoda expand kar sakte hai.",1
"Performance gaming ke liye bilkul fine hai, moderate games chalega.",1
"Camera zoom thik hai, high-quality shots nahi expect karna.",1
"Battery charging speed average hai, zyada fast nahi hai.",1
Software updates kabhi-kabhi delay ho jaate hain.,1
"Phone ka weight manageable hai, heavy feel nahi hota.",1
"Fingerprint sensor theek kaam karta hai, kabhi-kabhi miss bhi ho sakta hai.",1
"Network reception average hai, kabhi-kabhi weak ho sakta hai.",1
"Call quality decent hai, clear sunai deta hai.",1
"Design simple hai, par stylish nahi hai.",1
"Face unlock thoda slow hai, par kaam kar jaata hai.",1
"Phone ka processor average hai, basic tasks ke liye sufficient hai.",1
"Display clarity achhi hai, par outdoor use mein mushkil ho sakti hai.",1
"Camera quality normal hai, bura nahi hai par kuch khaas bhi nahi.",1
"Mobile ka performance normal hai, heavy multitasking ke liye suitable nahi.",1
"Phone ka UI smooth hai, lekin koi special features nahi milte.",1
"Phone ka speaker average hai, loudness kam hai.",1
"Build quality thoda delicate hai, dhyaan dena padega.",1
"Price ke hisaab se phone thik hai, thoda expensive lagta hai.",1
"Battery backup thik hai, 1 din ka use chal jaata hai.",1
"Processor speed average hai, zyada high-end games ke liye not recommended.",1
"Display color saturation theek hai, zyada vibrant nahi lagta.",1
"Phone ka design modern hai, par premium feel nahi aata.",1
"Camera ka wide angle thoda ordinary hai, zoom me clarity nahi milti.",1
"Network speed average hai, fast nahi hai.",1
"Touchscreen sensitivity theek hai, par kabhi kabhi response slow hota hai.",1
"Phone ka charging time moderate hai, zyada fast nahi hai.",1
"Phone ka build plastic hai, premium materials nahi milte.",1
"Audio quality average hai, thoda improvement ki zaroorat hai.",1
Phone ka camera thoda low-light mein struggle karta hai.,1
"Fingerprint sensor kabhi-kabhi fail hota hai, improvement ki zaroorat hai.",1
"Phone ka speaker quality theek hai, lekin thoda better ho sakta tha.",1
"Battery health average hai, early wear and tear ka risk hai.",1
"Design simple hai, kisi ko boring lag sakta hai.",1
"Performance daily tasks ke liye achha hai, par heavy apps ke liye slow hai.",1
"Phone ka software update karna easy hai, par kabhi kabhi time lagta hai.",1
"Display ka brightness normal hai, outdoor use ke liye best nahi hai.",1
Mobile ka camera outdoor lighting mein thoda ordinary hai.,1
"Phone ka interface clean hai, lekin customization options kam hai.",1
"Call clarity theek hai, par kuch areas mein issues ho sakte hain.",1
"Phone ka overall experience decent hai, but nothing extraordinary.",1
"Camera ka portrait mode fine hai, par aise features sab phone mein hain.",1
"Display resolution theek hai, par ultra-sharp nahi hai.",1
"Network coverage thik hai, par kabhi-kabhi weak hota hai.",1
"Phone ka operating system smooth hai, lekin outdated features hain.",1
"Battery backup daily tasks ke liye sufficient hai, heavy usage mein kam padta hai.",1
"Storage thik hai, lekin expandable option hone chahiye tha.",1
"Charging speed moderate hai, zyada fast nahi hai.",1
"Camera ka autofocus thoda slow hai, par kaam chal jaata hai.",1
"Phone ka design basic hai, lekin comfortable hai haath mein.",1
"Display ka touch quality thik hai, par response kabhi-kabhi slow hota hai.",1
"Phone ka weight medium hai, not too heavy or light.",1
"Performance decent hai, basic apps smoothly chalti hain.",1
"Battery performance achha hai, ek din ka use chal jaata hai.",1
Camera ka performance bright lighting mein thik hai.,1
"Charging port quality achhi hai, par kabhi-kabhi cable properly fit nahi hoti.",1
"Phone ka speaker volume enough hai, but thoda low ho sakta hai.",1
"Processor speed moderate hai, multitasking mein thoda slow ho sakta hai.",1
"Touchscreen ka response thik hai, kabhi-kabhi lag hota hai.",1
"Phone ka software stable hai, lekin aur features ki zaroorat hai.",1
"Display clarity average hai, outdoor mein dekhna mushkil ho sakta hai.",1
"Battery charging time moderate hai, zyada fast nahi hai.",1
"Phone ka back panel kaafi smooth hai, par fingerprints easily lagte hain.",1
"Design simple hai, lekin build quality better ho sakti thi.",1
"Phone ka overall experience decent hai, lekin aur improvements chahiye.",1
"Speaker sound quality thik hai, par bass thoda kam hai.",1
"Battery life moderate hai, daily use ke liye chalti hai.",1
"Display size thik hai, par zooming pe thoda blur hota hai.",1
"Phone ka performance average hai, basic use ke liye suitable hai.",1
"Camera ka performance bright light mein thik hai, but low light mein struggle karta hai.",1
"Phone ka grip comfortable hai, par smooth surface pe slip ho sakta hai.",1
"Charging speed average hai, fast charging ka option nahi hai.",1
"Phone ka software update time-to-time milta hai, but delays ho jaate hain.",1
"Camera ka night mode decent hai, but improvement ki zaroorat hai.",1
"Phone ka screen size thik hai, par agar bada hota toh better tha.",1
"Network reception decent hai, kabhi-kabhi thoda weak hota hai.",1
"Phone ka performance moderate hai, multitasking ke liye thoda weak hai.",1
"Battery drain moderate hai, heavy use mein thoda zyada ho sakta hai.",1
"Design simple hai, kisi ko basic lag sakta hai.",1
"Phone ka processor speed theek hai, but heavy apps ke liye slow hai.",1
"Display brightness average hai, zyada bright nahi hota.",1
"Phone ka camera ka performance normal hai, but low-light mein issues hote hain.",1
"Network coverage kaafi decent hai, par thoda improvement ho sakta hai.",1
"Camera ka selfie quality average hai, zyada sharp nahi hota.",1
"Charging cable thik hai, but not the best quality.",1
"Display colors thik hai, but outdoor mein clarity thodi kam hoti hai.",1
"Kapdon ka fabric quality bohot kharab hai, bilkul comfortable nahi hai.",0
"Jo color online dikhaya tha, woh bilkul alag nikla.",0
Ek wash ke baad kapdon ka color fade ho gaya.,0
"Stitching bohot bekaar hai, do din mein hi silai khul gayi.",0
"Size bilkul accurate nahi hai, fitting bilkul bhi nahi aayi.",0
"Kapde itne thin hain, andar ka sab kuch dikh raha hai.",0
"Delivery bohot late aayi, kaafi wait karna pada.",0
"Design bohot outdated lag raha hai, bilkul bhi modern nahi hai.",0
"Kapde pehne par skin rash ho gaya, quality poor hai.",0
"Packaging itni gandi thi, kapde khule huye aaye.",0
Price ke hisaab se quality bilkul match nahi karti.,0
"Buttons bohot jaldi toot gaye, replacement bhi nahi mila.",0
"Customer service bilkul non-cooperative hai, koi help nahi karta.",0
"Kapdon ka fabric rough hai, bilkul soft touch nahi hai.",0
"Thread nikalte ja rahe hain, ek baar pehnne par hi.",0
Logo ka placement kapdon par kaafi weird lagta hai.,0
"Material bilkul breathable nahi hai, garmi mein pehnna mushkil hai.",0
"Refund policy bohot complicated hai, paisa wapas nahi milta.",0
"Zippers ka quality itna kharab hai, ek baar use mein hi kharaab ho gaya.",0
"Kapde bohot heavy lagte hain, daily use ke liye bilkul nahi.",0
"Color kaafi dull lag raha hai, bilkul vibrant nahi hai.",0
Kapdon mein stitching ka alignment kharab tha.,0
Kapde wash karte hi shrink ho gaye.,0
"Label pe jo likha tha, woh bilkul galat tha, size different tha.",0
"Kapde kaafi cheaply made lagte hain, premium feel bilkul nahi hai.",0
"Kapdon mein smell bohot strong thi, wash karne ke baad bhi nahi gayi.",0
Pehle hi wear mein kapde tear ho gaye.,0
Delivery mein wrong product bhej diya.,0
Print design bohot poorly done lag raha hai.,0
Kapde bilkul bhi stretchable nahi hain.,0
"Threads baar baar niklte hain, irritating lagta hai.",0
"Fabric bilkul transparent hai, decent nahi lagta.",0
Kapdon ka length aur width bilkul disproportionate hai.,0
Kapdon ke saath accessories missing thi.,0
"Jo ordered kiya tha, woh color nahi bheja.",0
Kapdon ka texture bohot rough lagta hai.,0
Wash ke baad kapde ekdum loose ho gaye.,0
Kapdon mein ek ajeeb chemical smell thi.,0
Ek wash ke baad hi threads tear hone lage.,0
Kapde pehnne ke baad bilkul suit nahi karte.,0
Kapdon mein visible stains the delivery ke waqt.,0
"Jo size order kiya tha, woh toh alag bhej diya.",0
"Quality control kaafi poor lagti hai, defective item mila.",0
Kapde ka design market ke according outdated lagta hai.,0
"Price itna high hai, quality ke hisaab se justify nahi hai.",0
"Packaging itni kharab thi, kapde damage ho gaye.",0
Kapde pehnne par itching hoti hai.,0
Kapde iron karte waqt jaldi burn ho gaye.,0
Washing instructions follow karne ke baad bhi kapde shrink ho gaye.,0
Kapde wash karne par color mix ho gaya.,0
Buttons ka placement kaafi ajeeb lagta hai.,0
"Kapde itne tight hain, comfortable movement nahi hoti.",0
"Kapde kaafi fragile lagte hain, durable bilkul nahi hain.",0
Kapdon ka look bilkul cheap lagta hai.,0
Kapde packaging ke andar se torn the.,0
Kapdon mein ek ajeeb se wrinkles permanently the.,0
Kapde wash karne par color bleed ho gaya.,0
Kapde dry karne par ekdum stiff lagte hain.,0
Kapde return karne ke liye process bohot tedious hai.,0
"Jo promised kiya tha, usse bilkul opposite quality mili.",0
Kapde ka fit aur cut kaafi weird lagta hai.,0
Kapde wash karne ke baad apni shape lose karte hain.,0
"Kapdon ke saath jo accessories the, woh missing nikle.",0
Kapde pehente hi ekdum bekaar lagte hain.,0
Kapdon ka stitching thread har jagah visible hai.,0
Kapdon ka material kaafi synthetic aur cheap lagta hai.,0
Kapde touch karte hi pata chalta hai ki low quality hain.,0
Kapdon ka elasticity bilkul khatam ho gaya ek wash mein.,0
Kapde andar se kaafi uncomfortable lagte hain.,0
Kapdon ka design aur image mismatch tha.,0
Refund lene ke liye 10 baar customer care ko contact karna pada.,0
Kapde pehnne par skin irritation hoti hai.,0
Kapde dry clean karne ke baad bhi stain nahi gaya.,0
Kapde ekdum low-grade material ke lagte hain.,0
Kapde dry hone ke baad ek ajeeb smell dete hain.,0
"Kapde bilkul breathable nahi hain, sweating hoti hai.",0
Kapdon ka stitching khulne lagta hai bina kisi reason ke.,0
Kapde wash karte hi apna shine lose kar dete hain.,0
Kapde iron karte waqt wrinkles nahi jaate.,0
Kapde storage ke waqt bhi fade ho gaye.,0
Kapde pehnne ke baad shape lose kar lete hain.,0
Kapdon ka material bilkul rough lagta hai.,0
Kapde washing ke baad stretch kar jaate hain.,0
Kapdon ka stitching ekdum uneven hai.,0
"Kapde transparent lagte hain, quality poor hai.",0
"Kapdon ka fit proper nahi hai, uncomfortable lagte hain.",0
Kapde delivery ke waqt already damaged the.,0
Kapdon ka look aur feel bilkul bhi premium nahi hai.,0
Kapde lightweight hone ke bawajood cheap lagte hain.,0
Kapdon ka print ek wash ke baad fade ho gaya.,0
Kapde pehnte hi bekaar aur cheap feel hote hain.,0
Kapdon ka elasticity bilkul khatam ho gaya.,0
Kapde kaafi rough aur hard lagte hain.,0
Kapde har wash ke baad apni quality lose karte hain.,0
"Kapde color kaafi dull lagta hai, cheap feel hota hai.",0
Kapdon ka texture aur print mismatch tha.,0
Kapdon ke stitches properly done nahi hain.,0
Kapde delivery ke time fold lines se bhar gaye the.,0
Kapde pehnte hi uncomfortable feel hote hain.,0
Kapde ek wash ke baad bilkul useless lagte hain.,0
"TV ki picture quality utni acchi nahi hai, colors dull lagte hain.",0
"Sound quality kuch khaas nahi hai, bass kaafi low hai.",0
"Display ka resolution clear nahi hai, thoda blurry dikhayi deta hai.",0
"TV ka design bohot outdated lagta hai, kuch modern feel nahi hoti.",0
"Smart TV features kaafi slow hain, apps ko open hone mein time lagta hai.",0
"Remote ka response slow hai, kabhi kabhi buttons work nahi karte.",0
"Picture quality mein motion blur dikhta hai, fast scenes dekhne mein dikkat hoti hai.",0
"LED TV hone ke bawajood, display brightness utni achhi nahi hai.",0
"Installation process kaafi time-consuming tha, technician bhi late aaye the.",0
"Sound output kaafi low hai, volume full pe karne ke baad bhi clear nahi sunayi deta.",0
"Connectivity options limited hain, HDMI ports aur USB ports kaafi kam hain.",0
"TV ka viewing angle bohot narrow hai, sirf front se clear dikhayi deta hai.",0
"TV ka frame kaafi bulky hai, space kam ho jata hai.",0
"Android TV kaafi laggy hai, apps frequently crash karte hain.",0
"Screen size bohot chhoti hai, sab kuch properly dekhna mushkil hota hai.",0
"TV ka response time slow hai, channel switch karne mein time lagta hai.",0
Picture settings mein customization kaafi limited hain.,0
"Remote control bohot bulky hai, use karna convenient nahi lagta.",0
"TV ki brightness itni zyada nahi hai, din ke time screen dikhayi nahi deti.",0
"TV mein lag hoti hai, kabhi kabhi content buffer hone lagta hai.",0
"Voice search feature kaafi inaccurate hai, commands ko samajhne mein dikkat hoti hai.",0
"TV mein different picture modes kaafi useless hain, koi difference nahi padta.",0
"Sound clarity kaafi poor hai, high volume pe distortion hota hai.",0
"HDMI ports bohot kam hain, ek time pe ek hi device connect kar sakte hain.",0
"TV ka interface complicated hai, app navigation thoda mushkil hai.",0
"Picture quality bilkul sharp nahi hai, HD content bhi dheere dheere lagta hai.",0
"TV mein updates kaafi late aate hain, software kaafi outdated lagta hai.",0
"Refresh rate low hai, fast scenes mein lag aur blur hota hai.",0
"TV ka overall build quality kaafi weak hai, feel nahi aata.",0
"TV ka installation kit bhi missing tha, technician ko baar baar call karna pada.",0
"App store kaafi limited hai, koi new apps easily install nahi hoti.",0
"TV ka sound bar kaafi weak hai, thoda aur powerful hona chahiye tha.",0
"HDMI aur USB ports kaafi hard to reach hain, convenient nahi hain.",0
"TV ka interface thoda cluttered hai, pehle se hi sab cheezein visible nahi hoti.",0
"Picture contrast kaafi low hai, dark scenes mein koi details nahi dikhayi deti.",0
"TV mein streaming apps ka performance slow hai, buffering kaafi hota hai.",0
"TV mein voice recognition kaafi inaccurate hai, baar baar commands repeat karni padti hain.",0
