Review,Sentiment
"Sound output kaafi clear hai, lekin surround sound ka effect utna accha nahi hai.",Neutral
"Picture quality overall acchi hai, but dark scenes thoda unclear lagte hain.",Neutral
"TV mein apps kaafi slow load karte hain, but fir bhi work karte hain.",Neutral
"Viewing experience acchi hai, but brightness thoda kam ho sakta hai.",Neutral
"Screen size kaafi achha hai, but kisi chhote room ke liye thoda bada ho sakta hai.",Neutral
"Remote kaafi functional hai, lekin thoda bulky lagta hai.",Neutral
"TV ka performance average hai, lekin lag issues kabhi kabhi hote hain.",Neutral
"Picture sharpness thik hai, lekin highly detailed scenes mein clarity kam hoti hai.",Neutral
"Sound clarity normal hai, lekin volume increase karne par distortion hota hai.",Neutral
"TV ka overall user experience thik hai, but improvements ki zarurat hai.",Neutral
"App performance average hai, kuch apps thoda slow load hote hain.",Neutral
"TV ka installation kaafi easy thi, koi extra steps nahi the.",Neutral
"Display ka quality thik hai, lekin outdoor lighting mein thoda issue hota hai.",Neutral
"Sound system kaafi simple hai, but average sound experience milta hai.",Neutral
"TV ka screen size average hai, kisi bhi room ke liye accha hai.",Neutral
"TV ka connectivity thik hai, but Wi-Fi ka signal thoda weak hota hai.",Neutral
"Picture contrast kaafi decent hai, lekin kabhi kabhi brightness thoda low lagta hai.",Neutral
"TV mein updates time par aate hain, lekin performance thoda slow lagta hai.",Neutral
"Remote ka design theek hai, lekin buttons kaafi small hain.",Neutral
"TV mein sound clarity thik hai, lekin volume increase karte waqt clarity thoda loss hota hai.",Neutral
"TV ka build quality thik hai, but design zyada attractive nahi hai.",Neutral
"Picture quality thik hai, but sometimes screen overexposed lagti hai.",Neutral
"TV mein apps ka performance thik hai, but kabhi kabhi apps crash karte hain.",Neutral
"Sound output kaafi average hai, but overall experience okay hai.",Neutral
"Picture clarity thik hai, but sunlight mein kabhi kabhi issue hota hai.",Neutral
"TV ka motion handling thik hai, lekin fast action scenes mein blur hota hai.",Neutral
"Screen size thik hai, but kisi chhote room ke liye bohot bada ho sakta hai.",Neutral
"TV ka refresh rate thik hai, lekin gaming ke liye utna smooth nahi hai.",Neutral
"TV mein built-in apps thik hain, but lag hota hai kabhi kabhi.",Neutral
"TV ka interface simple hai, lekin kabhi kabhi slow response hota hai.",Neutral
"Picture sharpness acchi hai, lekin outdoor light mein thoda problem hota hai.",Neutral
"TV mein sound quality thik hai, but bass kaafi low hai.",Neutral
"TV mein connectivity options thik hain, but Wi-Fi thoda slow hai.",Neutral
"TV ka user experience thik hai, but kabhi kabhi lag ya freeze hota hai.",Neutral
"Screen brightness thik hai, but bright light mein thoda low dikhayi deta hai.",Neutral
"TV ka performance overall thik hai, lekin kuch improvements zaroori hain.",Neutral
"TV ka design decent hai, but kuch modern touch kaafi missing hai.",Neutral
"TV ka picture clarity thik hai, but details thoda blurry dikhayi deti hain.",Neutral
"Sound clarity normal hai, but volume badhate waqt thoda distortion hota hai.",Neutral
"TV mein streaming services thik se work karte hain, but kabhi kabhi buffering hota hai.",Neutral
"Picture quality overall thik hai, but fast scenes mein blur hota hai.",Neutral
"TV mein app store kaafi limited hai, but basic apps mil jaate hain.",Neutral
"TV ka performance theek hai, lekin kabhi kabhi apps crash karte hain.",Neutral
"Display ka quality accha hai, lekin brightness thoda low lagta hai.",Neutral
"TV ka build quality acchi hai, but design zyada appealing nahi hai.",Neutral
"TV mein picture sharpness thik hai, but details mein kabhi kabhi loss hota hai.",Neutral
"Sound output kaafi average hai, lekin thik hai daily use ke liye.",Neutral
"Picture clarity theek hai, but kabhi kabhi image mein sharpness ka issue hota hai.",Neutral
"TV ka overall performance theek hai, but refresh rate thoda low lagta hai.",Neutral
"TV ka connectivity options theek hain, but limited HDMI ports hain.",Neutral
"Screen size thik hai, but kisi chhote room ke liye utna suitable nahi hai.",Neutral
"Remote ka design thik hai, lekin kabhi kabhi response slow hota hai.",Neutral
Yeh car bahut smooth aur comfortable hai!,Positive
"Mileage zabardast hai, pocket-friendly bhi hai.",Positive
"Looks mein top-notch, performance bhi best hai.",Positive
Long drives ke liye perfect car hai.,Positive
Engine powerful aur fuel-efficient hai.,Positive
Interior classy aur spacious hai.,Positive
Drive karte waqt luxury ka feel aata hai.,Positive
"Suspension itna smooth, gaddhe feel hi nahi hote.",Positive
Yeh car family ke liye perfect hai.,Positive
Road grip aur handling dono superb hain.,Positive
AC performance bahut acha hai.,Positive
Iska music system high quality hai.,Positive
Low maintenance aur high performance.,Positive
Safety features next level hain.,Positive
City driving ke liye ekdum best option.,Positive
Iska design futuristic lagta hai.,Positive
Resale value bhi achhi milti hai.,Positive
Raat mein iska headlight system kamaal ka hai.,Positive
Automatic variant driving ka mazza badha deta hai.,Positive
Pehli ride se hi iska feel premium hai.,Positive
Gear shifting smooth aur effortless hai.,Positive
"Iska ground clearance high hai, roads pe perfect hai.",Positive
Seats ka comfort unmatched hai.,Positive
Engine ki pickup ekdum zabardast hai.,Positive
Fuel consumption kaafi kam hai.,Positive
Road trips ke liye ek must-have car hai.,Positive
Build quality kaafi solid aur reliable hai.,Positive
Steering control bahut precise hai.,Positive
Bluetooth connectivity quick aur reliable hai.,Positive
Car ki speed aur balance ekdam perfect hai.,Positive
Eco mode fuel save karne mein madad karta hai.,Positive
Boot space kaafi large aur convenient hai.,Positive
Iske tyre ka grip bahut reliable hai.,Positive
On-road presence kaafi stylish hai.,Positive
Petrol aur diesel dono mein efficiency zabardast hai.,Positive
Top speed bahut smooth aur stable hai.,Positive
Noise cancellation andar kaafi acchi hai.,Positive
Drive karte waqt ekdum safe feel hota hai.,Positive
Smart features aur technology se loaded hai.,Positive
Daily commute ke liye bhi ekdam ideal car hai.,Positive
Iska AC fast cooling karta hai.,Positive
Ek compact aur feature-rich car hai.,Positive
Dashboard ka design kaafi modern hai.,Positive
Premium feel ke saath budget-friendly option hai.,Positive
Tyre quality bahut durable aur reliable hai.,Positive
Eco-friendly features bhi diye gaye hain.,Positive
Steering par controls kaafi convenient hain.,Positive
Luxury aur affordability ka perfect combo hai.,Positive
Engine sound kaafi refined hai.,Positive
In-city aur highway driving dono ke liye perfect.,Positive
Braking system ekdum responsive hai.,Positive
Drive karne mein mazza aa jata hai.,Positive
Seats foldable aur kaafi flexible hain.,Positive
Long term use ke liye reliable option hai.,Positive
Power steering bahut effortless lagta hai.,Positive
Smartphone integration seamless hai.,Positive
USB aur aux features easily accessible hain.,Positive
Hill driving ke liye kaafi safe aur powerful hai.,Positive
Family aur friends sab impressed ho gaye car se.,Positive
Color options kaafi attractive hain.,Positive
Horn ka sound bilkul balanced hai.,Positive
Battery backup aur charging speed kaafi achhi hai.,Positive
Automatic wipers aur sensors kaafi useful hain.,Positive
Sunroof ke saath ek luxury feel milti hai.,Positive
Pehle hi test drive mein purchase ka decision le liya.,Positive
Build aur design dono hi impressive hain.,Positive
Compact hai lekin andar se spacious feel hoti hai.,Positive
Seats ka lumbar support kaafi acha hai.,Positive
Reverse camera aur sensors kaafi accurate hain.,Positive
Bluetooth calling features ekdum hassle-free hain.,Positive
Highways pe iska mileage aur smoothness unbeatable hai.,Positive
Service aur maintenance kaafi affordable hai.,Positive
Eco mode driving ke liye perfect hai.,Positive
Headlight throw kaafi sharp aur clear hai.,Positive
Drive modes kaafi practical aur useful hain.,Positive
Customer service bhi bahut acha hai.,Positive
Sound system premium quality ka hai.,Positive
Potholes ka impact andar feel nahi hota.,Positive
Road trips ka experience unforgettable ban gaya.,Positive
Iska resale market kaafi strong hai.,Positive
Auto parking feature kaafi convenient hai.,Positive
Driver seat adjustment kaafi easy aur quick hai.,Positive
Wireless charging ka feature kaafi helpful hai.,Positive
High torque aur power delivery ekdam smooth hai.,Positive
Top model ekdum value-for-money hai.,Positive
Navigation aur maps integration accurate hai.,Positive
Peechhe baithne walon ke liye bhi kaafi leg space hai.,Positive
Headroom aur shoulder space bhi perfect hai.,Positive
Color finish kaafi premium aur durable lagti hai.,Positive
Luxury cars se compare karein toh yeh affordable hai.,Positive
Window controls aur locking system kaafi advanced hai.,Positive
Driving assist features kaafi advanced hain.,Positive
Tire pressure monitoring feature helpful hai.,Positive
In-built infotainment system kaafi smooth hai.,Positive
Remote start aur lock features convenient hain.,Positive
Android Auto aur Apple CarPlay seamless hai.,Positive
City traffic me bhi kaafi zyada efficient hai.,Positive
Affordable EMI options ke saath perfect purchase hai.,Positive
Car mein ek alag level ka swag feel hota hai.,Positive
"Comfort, power aur style ka perfect combination hai.",Positive
Washing machine ke kapde properly saaf nahi hote.,Negative
Bahut noise karta hai jab chalti hai.,Negative
"Spin speed slow hai, kapde dry nahi hote.",Negative
Paise barbaad ho gaye is washing machine par.,Negative
Ek mahine ke andar kharab ho gayi.,Negative
Customer care bilkul response nahi karta.,Negative
Water leakage ka problem hai is machine mein.,Negative
Electricity ka bill double ho gaya isse.,Negative
Kapde ka color fade kar deta hai.,Negative
Machine baar-baar error dikhati hai.,Negative
Warranty hone ke baad bhi service nahi milti.,Negative
"Bahut heavy hai, move karna mushkil hai.",Negative
Detergent properly dissolve nahi hota.,Negative
"Buttons bahut delicate hain, jaldi kharab ho gaye.",Negative
Bina reason ke machine ruk jaati hai.,Negative
Spin cycle ke baad bhi kapde geele hote hain.,Negative
"Iski pipe fitting weak hai, baar-baar leak hoti hai.",Negative
Machine ke andar badbu rehne lagi hai.,Negative
Parts ka quality bahut cheap hai.,Negative
"Jo promises diye the, wo fulfill nahi hue.",Negative
Iski timer settings confusing hain.,Negative
Kapdon ki stitching kharab kar deta hai.,Negative
Drum andar se bahut delicate hai.,Negative
Machine start hone mein time lagati hai.,Negative
Manual instructions clear nahi hain.,Negative
Half load pe bhi power consumption zyada hai.,Negative
Machine bahut jaldi heat up ho jaati hai.,Negative
Kapde andar atak jaate hain.,Negative
Washing time bahut zyada lagta hai.,Negative
Detergent tray mein detergent residue reh jata hai.,Negative
Door lock kaam nahi karta properly.,Negative
Kapdon ke stains remove nahi hote.,Negative
Koi advanced features kaam ke nahi hain.,Negative
Bahut complicated controls hain.,Negative
Machine use karne ke baad pani overflow hota hai.,Negative
Machine ke andar rust develop ho raha hai.,Negative
Start button baar-baar jam ho jata hai.,Negative
Kapde wash karne ke baad rough feel hote hain.,Negative
Installation service time par nahi milti.,Negative
Kapde washing ke baad shrink ho gaye.,Negative
Iska drum ka size bahut chhota hai.,Negative
Machine ke andar ka material non-durable hai.,Negative
Bina warning ke machine band ho jaati hai.,Negative
Spin ke baad pani fully drain nahi hota.,Negative
Kapdon mein detergent smell reh jaati hai.,Negative
Repair ke liye technician available nahi hota.,Negative
Machine ka display kaam karna band kar diya.,Negative
Bahut vibration hota hai chalne par.,Negative
Iska drain pipe length short hai.,Negative
Kapde tangled ho jaate hain.,Negative
"Jo kapde nikalte hain, wo bilkul fresh nahi lagte.",Negative
Spin ke baad kapde me pani drip karta hai.,Negative
"Iska drum uneven hai, kapde damage ho jaate hain.",Negative
Detergent kaafi zyada use hota hai.,Negative
Machine ka noise unbearable hai.,Negative
Iska outer body fragile hai.,Negative
Overloading ki problem hoti hai.,Negative
Machine andar ke kapdon ko achhe se nahi ghoomati.,Negative
Kapdon ke fabric mein holes aa gaye.,Negative
Bina detergent bhi foam banta hai machine ke andar.,Negative
Ek baar chalane ke baad restart nahi hoti.,Negative
Machine mein paani kaafi der tak jam jaata hai.,Negative
Timer reset hone mein problem hoti hai.,Negative
Machine fully automatic hone ke bawjood manual lagti hai.,Negative
Koi bhi kapda properly clean nahi hota.,Negative
Installation mein technician late aata hai.,Negative
Detergent dispenser ke paas jam hota hai.,Negative
Bahut water wastage hota hai.,Negative
Iske settings complicated hain.,Negative
Door handle fragile hai.,Negative
Display ke indicators kaam nahi karte.,Negative
Iska spin bahut slow hai.,Negative
Pehle mahine mein parts replace karwane pade.,Negative
Iska motor weak lagta hai.,Negative
Machine cycle incomplete hoti hai.,Negative
Machine ke andar se smell aane lagti hai.,Negative
Kapdon par stains aur visible ho jaate hain.,Negative
Rustproof hone ka claim jhootha hai.,Negative
Parts kaafi costly hain.,Negative
Technical support ka experience pathetic hai.,Negative
Bahut zyada time consume karta hai.,Negative
Machine wash ke baad residue chhod deti hai.,Negative
"Jo kapde washable hote hain, unpe bhi impact hota hai.",Negative
"Agar overload hoti hai, toh warning nahi aati.",Negative
Machine ke andar pani leakage baar-baar hota hai.,Negative
Machine ka wash cycle incomplete rehta hai.,Negative
Iska design outdated lagta hai.,Negative
Buttons press karne par response slow hota hai.,Negative
Auto mode kaam nahi karta properly.,Negative
Kapde washing ke baad extra rough lagte hain.,Negative
Machine ke saath accessories incomplete aayi.,Negative
Iska heating element kaafi weak hai.,Negative
Machine ke andar wires visible hain.,Negative
Kapde andar ghoomte hi nahi.,Negative
Machine ke andar se metal rubbing ka sound aata hai.,Negative
Filter clogged ho jata hai easily.,Negative
Iska maintenance bahut costly hai.,Negative
Kapde smell karte hain wash ke baad.,Negative
Iska water inlet slow hai.,Negative
Machine ke andar jagah kaafi kam lagti hai.,Negative
"Mobile phone average hai, na zyada acha na kharab.",Neutral
"Phone theek hai, basic tasks ke liye kaafi hai.",Neutral
"Performance decent hai, daily use ke liye chal jaata hai.",Neutral
"Camera thoda improve ho sakta hai, par chal jaata hai.",Neutral
"Battery life thik hai, zyada expect mat karo.",Neutral
"Design acha hai, par kuch extraordinary nahi hai.",Neutral
"Display thik-thak hai, bright enough hai indoor use ke liye.",Neutral
"Sound quality theek hai, par loudness thoda kam hai.",Neutral
"Touch response okay hai, occasional lag ho sakta hai.",Neutral
"Phone ka build quality average hai, metal ya glass feel nahi hai.",Neutral
"Storage thik hai, thoda expand kar sakte hai.",Neutral
"Performance gaming ke liye bilkul fine hai, moderate games chalega.",Neutral
"Camera zoom thik hai, high-quality shots nahi expect karna.",Neutral
"Battery charging speed average hai, zyada fast nahi hai.",Neutral
Software updates kabhi-kabhi delay ho jaate hain.,Neutral
"Phone ka weight manageable hai, heavy feel nahi hota.",Neutral
"Fingerprint sensor theek kaam karta hai, kabhi-kabhi miss bhi ho sakta hai.",Neutral
"Network reception average hai, kabhi-kabhi weak ho sakta hai.",Neutral
"Call quality decent hai, clear sunai deta hai.",Neutral
"Design simple hai, par stylish nahi hai.",Neutral
"Face unlock thoda slow hai, par kaam kar jaata hai.",Neutral
"Phone ka processor average hai, basic tasks ke liye sufficient hai.",Neutral
"Display clarity achhi hai, par outdoor use mein mushkil ho sakti hai.",Neutral
"Camera quality normal hai, bura nahi hai par kuch khaas bhi nahi.",Neutral
"Mobile ka performance normal hai, heavy multitasking ke liye suitable nahi.",Neutral
"Phone ka UI smooth hai, lekin koi special features nahi milte.",Neutral
"Phone ka speaker average hai, loudness kam hai.",Neutral
"Build quality thoda delicate hai, dhyaan dena padega.",Neutral
"Price ke hisaab se phone thik hai, thoda expensive lagta hai.",Neutral
"Battery backup thik hai, 1 din ka use chal jaata hai.",Neutral
"Processor speed average hai, zyada high-end games ke liye not recommended.",Neutral
"Display color saturation theek hai, zyada vibrant nahi lagta.",Neutral
"Phone ka design modern hai, par premium feel nahi aata.",Neutral
"Camera ka wide angle thoda ordinary hai, zoom me clarity nahi milti.",Neutral
"Network speed average hai, fast nahi hai.",Neutral
"Touchscreen sensitivity theek hai, par kabhi kabhi response slow hota hai.",Neutral
"Phone ka charging time moderate hai, zyada fast nahi hai.",Neutral
"Phone ka build plastic hai, premium materials nahi milte.",Neutral
"Audio quality average hai, thoda improvement ki zaroorat hai.",Neutral
Phone ka camera thoda low-light mein struggle karta hai.,Neutral
"Fingerprint sensor kabhi-kabhi fail hota hai, improvement ki zaroorat hai.",Neutral
"Phone ka speaker quality theek hai, lekin thoda better ho sakta tha.",Neutral
"Battery health average hai, early wear and tear ka risk hai.",Neutral
"Design simple hai, kisi ko boring lag sakta hai.",Neutral
"Performance daily tasks ke liye achha hai, par heavy apps ke liye slow hai.",Neutral
"Phone ka software update karna easy hai, par kabhi kabhi time lagta hai.",Neutral
"Display ka brightness normal hai, outdoor use ke liye best nahi hai.",Neutral
Mobile ka camera outdoor lighting mein thoda ordinary hai.,Neutral
"Phone ka interface clean hai, lekin customization options kam hai.",Neutral
"Call clarity theek hai, par kuch areas mein issues ho sakte hain.",Neutral
"Phone ka overall experience decent hai, but nothing extraordinary.",Neutral
"Camera ka portrait mode fine hai, par aise features sab phone mein hain.",Neutral
"Display resolution theek hai, par ultra-sharp nahi hai.",Neutral
"Network coverage thik hai, par kabhi-kabhi weak hota hai.",Neutral
"Phone ka operating system smooth hai, lekin outdated features hain.",Neutral
"Battery backup daily tasks ke liye sufficient hai, heavy usage mein kam padta hai.",Neutral
"Storage thik hai, lekin expandable option hone chahiye tha.",Neutral
"Charging speed moderate hai, zyada fast nahi hai.",Neutral
"Camera ka autofocus thoda slow hai, par kaam chal jaata hai.",Neutral
"Phone ka design basic hai, lekin comfortable hai haath mein.",Neutral
"Display ka touch quality thik hai, par response kabhi-kabhi slow hota hai.",Neutral
"Phone ka weight medium hai, not too heavy or light.",Neutral
"Performance decent hai, basic apps smoothly chalti hain.",Neutral
"Battery performance achha hai, ek din ka use chal jaata hai.",Neutral
Camera ka performance bright lighting mein thik hai.,Neutral
"Charging port quality achhi hai, par kabhi-kabhi cable properly fit nahi hoti.",Neutral
"Phone ka speaker volume enough hai, but thoda low ho sakta hai.",Neutral
"Processor speed moderate hai, multitasking mein thoda slow ho sakta hai.",Neutral
"Touchscreen ka response thik hai, kabhi-kabhi lag hota hai.",Neutral
"Phone ka software stable hai, lekin aur features ki zaroorat hai.",Neutral
"Display clarity average hai, outdoor mein dekhna mushkil ho sakta hai.",Neutral
"Battery charging time moderate hai, zyada fast nahi hai.",Neutral
"Phone ka back panel kaafi smooth hai, par fingerprints easily lagte hain.",Neutral
"Design simple hai, lekin build quality better ho sakti thi.",Neutral
"Phone ka overall experience decent hai, lekin aur improvements chahiye.",Neutral
"Speaker sound quality thik hai, par bass thoda kam hai.",Neutral
"Battery life moderate hai, daily use ke liye chalti hai.",Neutral
"Display size thik hai, par zooming pe thoda blur hota hai.",Neutral
"Phone ka performance average hai, basic use ke liye suitable hai.",Neutral
"Camera ka performance bright light mein thik hai, but low light mein struggle karta hai.",Neutral
"Phone ka grip comfortable hai, par smooth surface pe slip ho sakta hai.",Neutral
"Charging speed average hai, fast charging ka option nahi hai.",Neutral
"Phone ka software update time-to-time milta hai, but delays ho jaate hain.",Neutral
"Camera ka night mode decent hai, but improvement ki zaroorat hai.",Neutral
"Phone ka screen size thik hai, par agar bada hota toh better tha.",Neutral
"Network reception decent hai, kabhi-kabhi thoda weak hota hai.",Neutral
"Phone ka performance moderate hai, multitasking ke liye thoda weak hai.",Neutral
"Battery drain moderate hai, heavy use mein thoda zyada ho sakta hai.",Neutral
"Design simple hai, kisi ko basic lag sakta hai.",Neutral
"Phone ka processor speed theek hai, but heavy apps ke liye slow hai.",Neutral
"Display brightness average hai, zyada bright nahi hota.",Neutral
"Phone ka camera ka performance normal hai, but low-light mein issues hote hain.",Neutral
"Network coverage kaafi decent hai, par thoda improvement ho sakta hai.",Neutral
"Camera ka selfie quality average hai, zyada sharp nahi hota.",Neutral
"Charging cable thik hai, but not the best quality.",Neutral
"Display colors thik hai, but outdoor mein clarity thodi kam hoti hai.",Neutral
"Kapdon ka fabric quality bohot kharab hai, bilkul comfortable nahi hai.",Negative
"Jo color online dikhaya tha, woh bilkul alag nikla.",Negative
Ek wash ke baad kapdon ka color fade ho gaya.,Negative
"Stitching bohot bekaar hai, do din mein hi silai khul gayi.",Negative
"Size bilkul accurate nahi hai, fitting bilkul bhi nahi aayi.",Negative
"Kapde itne thin hain, andar ka sab kuch dikh raha hai.",Negative
"Delivery bohot late aayi, kaafi wait karna pada.",Negative
"Design bohot outdated lag raha hai, bilkul bhi modern nahi hai.",Negative
"Kapde pehne par skin rash ho gaya, quality poor hai.",Negative
"Packaging itni gandi thi, kapde khule huye aaye.",Negative
Price ke hisaab se quality bilkul match nahi karti.,Negative
"Buttons bohot jaldi toot gaye, replacement bhi nahi mila.",Negative
"Customer service bilkul non-cooperative hai, koi help nahi karta.",Negative
"Kapdon ka fabric rough hai, bilkul soft touch nahi hai.",Negative
"Thread nikalte ja rahe hain, ek baar pehnne par hi.",Negative
Logo ka placement kapdon par kaafi weird lagta hai.,Negative
"Material bilkul breathable nahi hai, garmi mein pehnna mushkil hai.",Negative
"Refund policy bohot complicated hai, paisa wapas nahi milta.",Negative
"Zippers ka quality itna kharab hai, ek baar use mein hi kharaab ho gaya.",Negative
"Kapde bohot heavy lagte hain, daily use ke liye bilkul nahi.",Negative
"Color kaafi dull lag raha hai, bilkul vibrant nahi hai.",Negative
Kapdon mein stitching ka alignment kharab tha.,Negative
Kapde wash karte hi shrink ho gaye.,Negative
"Label pe jo likha tha, woh bilkul galat tha, size different tha.",Negative
"Kapde kaafi cheaply made lagte hain, premium feel bilkul nahi hai.",Negative
"Kapdon mein smell bohot strong thi, wash karne ke baad bhi nahi gayi.",Negative
Pehle hi wear mein kapde tear ho gaye.,Negative
Delivery mein wrong product bhej diya.,Negative
Print design bohot poorly done lag raha hai.,Negative
Kapde bilkul bhi stretchable nahi hain.,Negative
"Threads baar baar niklte hain, irritating lagta hai.",Negative
"Fabric bilkul transparent hai, decent nahi lagta.",Negative
Kapdon ka length aur width bilkul disproportionate hai.,Negative
Kapdon ke saath accessories missing thi.,Negative
"Jo ordered kiya tha, woh color nahi bheja.",Negative
Kapdon ka texture bohot rough lagta hai.,Negative
Wash ke baad kapde ekdum loose ho gaye.,Negative
Kapdon mein ek ajeeb chemical smell thi.,Negative
Ek wash ke baad hi threads tear hone lage.,Negative
Kapde pehnne ke baad bilkul suit nahi karte.,Negative
Kapdon mein visible stains the delivery ke waqt.,Negative
"Jo size order kiya tha, woh toh alag bhej diya.",Negative
"Quality control kaafi poor lagti hai, defective item mila.",Negative
Kapde ka design market ke according outdated lagta hai.,Negative
"Price itna high hai, quality ke hisaab se justify nahi hai.",Negative
"Packaging itni kharab thi, kapde damage ho gaye.",Negative
Kapde pehnne par itching hoti hai.,Negative
Kapde iron karte waqt jaldi burn ho gaye.,Negative
Washing instructions follow karne ke baad bhi kapde shrink ho gaye.,Negative
Kapde wash karne par color mix ho gaya.,Negative
Buttons ka placement kaafi ajeeb lagta hai.,Negative
"Kapde itne tight hain, comfortable movement nahi hoti.",Negative
"Kapde kaafi fragile lagte hain, durable bilkul nahi hain.",Negative
Kapdon ka look bilkul cheap lagta hai.,Negative
Kapde packaging ke andar se torn the.,Negative
Kapdon mein ek ajeeb se wrinkles permanently the.,Negative
Kapde wash karne par color bleed ho gaya.,Negative
Kapde dry karne par ekdum stiff lagte hain.,Negative
Kapde return karne ke liye process bohot tedious hai.,Negative
"Jo promised kiya tha, usse bilkul opposite quality mili.",Negative
Kapde ka fit aur cut kaafi weird lagta hai.,Negative
Kapde wash karne ke baad apni shape lose karte hain.,Negative
"Kapdon ke saath jo accessories the, woh missing nikle.",Negative
Kapde pehente hi ekdum bekaar lagte hain.,Negative
Kapdon ka stitching thread har jagah visible hai.,Negative
Kapdon ka material kaafi synthetic aur cheap lagta hai.,Negative
Kapde touch karte hi pata chalta hai ki low quality hain.,Negative
Kapdon ka elasticity bilkul khatam ho gaya ek wash mein.,Negative
Kapde andar se kaafi uncomfortable lagte hain.,Negative
Kapdon ka design aur image mismatch tha.,Negative
Refund lene ke liye 10 baar customer care ko contact karna pada.,Negative
Kapde pehnne par skin irritation hoti hai.,Negative
Kapde dry clean karne ke baad bhi stain nahi gaya.,Negative
Kapde ekdum low-grade material ke lagte hain.,Negative
Kapde dry hone ke baad ek ajeeb smell dete hain.,Negative
"Kapde bilkul breathable nahi hain, sweating hoti hai.",Negative
Kapdon ka stitching khulne lagta hai bina kisi reason ke.,Negative
Kapde wash karte hi apna shine lose kar dete hain.,Negative
Kapde iron karte waqt wrinkles nahi jaate.,Negative
Kapde storage ke waqt bhi fade ho gaye.,Negative
Kapde pehnne ke baad shape lose kar lete hain.,Negative
Kapdon ka material bilkul rough lagta hai.,Negative
Kapde washing ke baad stretch kar jaate hain.,Negative
Kapdon ka stitching ekdum uneven hai.,Negative
"Kapde transparent lagte hain, quality poor hai.",Negative
"Kapdon ka fit proper nahi hai, uncomfortable lagte hain.",Negative
Kapde delivery ke waqt already damaged the.,Negative
Kapdon ka look aur feel bilkul bhi premium nahi hai.,Negative
Kapde lightweight hone ke bawajood cheap lagte hain.,Negative
Kapdon ka print ek wash ke baad fade ho gaya.,Negative
Kapde pehnte hi bekaar aur cheap feel hote hain.,Negative
Kapdon ka elasticity bilkul khatam ho gaya.,Negative
Kapde kaafi rough aur hard lagte hain.,Negative
Kapde har wash ke baad apni quality lose karte hain.,Negative
"Kapde color kaafi dull lagta hai, cheap feel hota hai.",Negative
Kapdon ka texture aur print mismatch tha.,Negative
Kapdon ke stitches properly done nahi hain.,Negative
Kapde delivery ke time fold lines se bhar gaye the.,Negative
Kapde pehnte hi uncomfortable feel hote hain.,Negative
Kapde ek wash ke baad bilkul useless lagte hain.,Negative
"TV ki picture quality utni acchi nahi hai, colors dull lagte hain.",Negative
"Sound quality kuch khaas nahi hai, bass kaafi low hai.",Negative
"Display ka resolution clear nahi hai, thoda blurry dikhayi deta hai.",Negative
"TV ka design bohot outdated lagta hai, kuch modern feel nahi hoti.",Negative
